Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,40.009998,40.009998,38.320000,38.840000,37.637199,36239500
2023-05-03,39.029999,39.669998,38.610001,38.650002,37.453083,25202700
2023-05-04,37.680000,38.080002,36.400002,36.720001,35.861206,53247000
2023-05-05,37.459999,38.279999,37.330002,37.939999,37.052670,27036200
2023-05-08,38.430000,38.779999,38.150002,38.380001,37.482384,22735400
2023-05-09,37.939999,38.669998,37.770000,38.540001,37.638638,18999100
2023-05-10,39.200001,39.230000,37.900002,38.279999,37.384716,17941600
2023-05-11,37.759998,38.480000,37.410000,38.330002,37.433552,18536200
2023-05-12,38.459999,38.529999,37.180000,37.490002,36.613194,17654400
2023-05-15,37.599998,39.099998,37.459999,38.770000,37.863258,24405800
2023-05-16,38.680000,38.770000,38.320000,38.389999,37.492146,21821200
2023-05-17,38.990002,40.610001,38.889999,40.459999,39.513733,29241600
2023-05-18,40.320000,40.320000,39.570000,40.209999,39.269581,27213900
2023-05-19,40.330002,40.459999,39.619999,40.029999,39.093792,19769800
2023-05-22,40.200001,41.230000,40.099998,40.980000,40.021572,27519400
2023-05-23,41.009998,42.119999,40.980000,41.209999,40.246189,26116600
2023-05-24,40.889999,41.290001,40.680000,40.869999,39.914146,21193700
2023-05-25,40.619999,41.290001,40.520000,40.900002,39.943447,17691800
2023-05-26,40.900002,41.520000,40.759998,41.230000,40.265724,17399400
2023-05-30,41.240002,41.419998,40.340000,40.980000,40.021572,14752600
2023-05-31,40.290001,40.470001,39.299999,39.810001,38.878937,27221100
2023-06-01,40.209999,40.529999,39.680000,40.060001,39.123089,17079400
2023-06-02,40.619999,41.549999,40.380001,41.240002,40.275494,16905100
2023-06-05,41.160000,41.160000,40.439999,40.450001,39.503971,18443900
2023-06-06,40.400002,41.619999,40.259998,41.259998,40.295021,18825100
2023-06-07,41.450001,42.139999,40.990002,42.070000,41.086079,17781800
2023-06-08,41.700001,42.400002,41.560001,42.369999,41.379063,17157300
2023-06-09,42.330002,42.470001,42.029999,42.130001,41.144676,11098900
2023-06-12,42.110001,42.759998,41.410000,41.830002,40.851692,19433400
2023-06-13,41.680000,43.340000,41.529999,42.650002,41.652519,18864000
2023-06-14,42.750000,42.990002,41.990002,42.080002,41.095848,14826100
2023-06-15,41.820000,42.419998,41.619999,42.360001,41.369297,14188200
2023-06-16,42.580002,42.740002,42.060001,42.180000,41.193508,36421600
2023-06-20,42.119999,42.139999,41.340000,41.889999,40.910286,16679600
2023-06-21,41.849998,41.959999,41.529999,41.650002,40.675903,11686500
2023-06-22,41.549999,41.630001,40.919998,41.060001,40.099705,11504400
2023-06-23,40.529999,40.740002,40.299999,40.610001,39.660225,18952000
2023-06-26,40.779999,41.220001,40.459999,40.590000,39.640694,13618500
2023-06-27,40.619999,41.060001,40.340000,40.910000,39.953209,11749600
2023-06-28,40.919998,40.939999,40.380001,40.619999,39.669991,13959600
2023-06-29,41.480000,42.509998,41.369999,42.450001,41.457191,23956300
2023-06-30,42.950001,43.220001,42.619999,42.680000,41.681812,20059500
2023-07-03,42.880001,43.599998,42.740002,43.400002,42.384975,9249100
2023-07-05,43.230000,43.619999,42.770000,43.480000,42.463100,15722200
2023-07-06,43.220001,43.310001,42.240002,42.889999,41.886902,14978600
2023-07-07,42.590000,43.430000,42.590000,42.770000,41.769711,13505400
2023-07-10,42.709999,42.990002,42.279999,42.320000,41.330231,16675800
2023-07-11,42.349998,42.930000,42.070000,42.740002,41.740410,15402300
2023-07-12,43.310001,43.849998,43.009998,43.259998,42.248249,13998300
2023-07-13,43.470001,43.759998,43.299999,43.709999,42.687725,18034800
2023-07-14,44.750000,45.310001,43.299999,43.560001,42.541233,30891300
2023-07-17,43.560001,45.130001,43.549999,44.740002,43.693634,25173900
2023-07-18,44.770000,45.700001,44.599998,45.599998,44.533520,24188900
2023-07-19,45.930000,46.570000,45.540001,46.259998,45.178082,18932700
2023-07-20,46.369999,47.240002,46.209999,47.130001,46.027740,18927200
2023-07-21,47.180000,47.209999,45.950001,45.959999,44.885101,16206500
2023-07-24,45.970001,46.830002,45.959999,46.419998,45.334339,12053200
2023-07-25,46.389999,46.639999,45.430000,45.480000,44.416328,13537400
2023-07-26,46.480000,46.830002,46.110001,46.439999,45.353874,19520900
2023-07-27,46.560001,47.169998,45.580002,45.770000,44.699543,19509600
2023-07-28,46.049999,46.230000,45.570000,46.139999,45.060890,12616400
2023-07-31,46.340000,46.680000,45.860001,46.160000,45.080425,11696600
2023-08-01,46.009998,46.160000,45.340000,45.709999,44.640945,12699200
2023-08-02,45.099998,45.169998,44.560001,45.099998,44.045212,13911700
2023-08-03,44.709999,45.389999,44.509998,45.150002,44.438915,12145400
2023-08-04,45.099998,45.700001,44.709999,44.849998,44.143639,10838300
2023-08-07,45.180000,45.459999,44.919998,45.060001,44.350334,10860300
2023-08-08,43.980000,44.549999,43.380001,44.480000,43.779465,14520000
2023-08-09,44.220001,44.250000,43.570000,43.720001,43.031437,11973800
2023-08-10,44.000000,44.389999,43.619999,43.669998,42.982220,11982200
2023-08-11,43.509998,43.849998,43.380001,43.730000,43.041279,7316000
2023-08-14,43.529999,43.910000,43.270000,43.740002,43.051121,10677000
2023-08-15,43.130001,43.259998,42.520000,42.730000,42.057030,13835900
2023-08-16,42.660000,42.730000,42.139999,42.220001,41.555061,10076700
2023-08-17,42.470001,42.750000,42.259998,42.470001,41.801125,12686000
2023-08-18,42.099998,42.790001,42.049999,42.500000,41.830650,10796400
2023-08-21,42.650002,42.869999,42.119999,42.490002,41.820812,12600400
2023-08-22,42.459999,42.570000,41.430000,41.500000,40.846401,13634800
2023-08-23,41.560001,41.639999,41.220001,41.610001,40.954670,11927400
2023-08-24,41.450001,42.180000,41.389999,41.430000,40.777504,10363300
2023-08-25,41.639999,41.799999,40.770000,41.230000,40.580650,12534700
2023-08-28,41.410000,42.070000,41.290001,41.880001,41.220417,10314500
2023-08-29,41.869999,42.369999,41.650002,42.000000,41.338528,14404800
2023-08-30,42.060001,42.130001,41.470001,41.540001,40.885769,12536300
2023-08-31,41.680000,41.709999,41.110001,41.290001,40.639709,21534900
2023-09-01,41.549999,41.990002,41.509998,41.650002,40.994038,12889200
2023-09-05,41.650002,42.279999,41.310001,41.540001,40.885769,14337200
2023-09-06,41.209999,41.400002,40.599998,41.020000,40.373962,18775400
2023-09-07,40.730000,41.020000,40.299999,40.430000,39.793251,13801000
2023-09-08,40.450001,41.119999,40.330002,41.000000,40.354275,13921200
2023-09-11,41.380001,41.720001,41.209999,41.330002,40.679081,15053800
2023-09-12,41.410000,42.970001,41.270000,42.540001,41.870022,18393900
2023-09-13,42.709999,42.880001,42.119999,42.250000,41.584587,15274200
2023-09-14,42.810001,43.389999,42.700001,43.049999,42.371986,20764500
2023-09-15,42.669998,43.310001,42.610001,42.950001,42.273563,47268300
2023-09-18,42.990002,43.599998,42.770000,43.430000,42.746002,15849700
2023-09-19,43.549999,43.740002,42.900002,43.220001,42.539314,15318100
2023-09-20,43.400002,43.720001,42.820000,42.869999,42.194820,16788100
2023-09-21,42.750000,43.169998,42.290001,42.320000,41.653484,14990500
2023-09-22,42.330002,42.389999,41.150002,41.230000,40.580650,16780300
2023-09-25,40.880001,41.619999,40.770000,41.560001,40.905457,10624000
2023-09-26,41.049999,41.310001,40.360001,40.650002,40.009789,15219400
2023-09-27,40.630001,41.200001,40.459999,40.860001,40.216480,11815500
2023-09-28,40.840000,41.200001,40.720001,40.910000,40.265690,12454600
2023-09-29,41.200001,41.389999,40.580002,40.860001,40.216480,13119100
2023-10-02,40.700001,40.759998,39.439999,39.610001,38.986168,15102000
2023-10-03,39.380001,39.470001,38.470001,38.669998,38.060970,19252900
2023-10-04,38.509998,39.110001,38.389999,38.970001,38.356247,14343500
2023-10-05,38.759998,39.419998,38.599998,39.299999,38.681049,11820600
2023-10-06,38.889999,39.889999,38.759998,39.689999,39.064903,13973000
2023-10-09,39.110001,39.799999,39.099998,39.700001,39.074749,12096600
2023-10-10,39.919998,40.380001,39.720001,39.820000,39.192860,14429700
2023-10-11,40.009998,40.209999,39.250000,39.689999,39.064903,14835900
2023-10-12,39.689999,40.009998,39.320000,39.740002,39.114120,14878100
2023-10-13,40.830002,41.639999,40.470001,40.959999,40.314907,28077900
2023-10-16,41.470001,42.169998,41.400002,41.650002,40.994038,18419000
2023-10-17,41.430000,42.369999,41.430000,41.980000,41.318840,16982300
2023-10-18,41.700001,41.939999,41.349998,41.529999,40.875927,16053200
2023-10-19,41.480000,42.220001,41.160000,41.180000,40.531441,16120300
2023-10-20,41.049999,41.090000,39.939999,40.270000,39.635773,17485700
2023-10-23,40.259998,40.380001,39.419998,39.480000,38.858215,13785800
2023-10-24,39.619999,39.830002,39.240002,39.279999,38.661362,15097800
2023-10-25,39.070000,39.209999,38.580002,39.029999,38.415298,13849000
2023-10-26,39.020000,39.980000,38.980000,39.650002,39.025539,15480300
2023-10-27,39.380001,39.410000,38.619999,38.759998,38.149555,13582800
2023-10-30,39.099998,39.590000,38.689999,39.430000,38.809002,14141900
2023-10-31,39.639999,39.810001,39.240002,39.770000,39.143646,11919200
2023-11-01,39.959999,39.980000,39.279999,39.610001,38.986168,19850300
2023-11-02,39.740002,40.540001,39.389999,40.509998,40.227448,19998500
2023-11-03,41.169998,41.860001,41.070000,41.619999,41.329704,16146100
2023-11-06,41.790001,41.790001,41.150002,41.340000,41.051659,15148600
2023-11-07,41.180000,41.200001,40.740002,41.040001,40.753754,13796900
2023-11-08,41.070000,41.189999,40.430000,40.980000,40.694168,19418700
2023-11-09,41.299999,41.380001,40.270000,40.400002,40.118217,14006500
2023-11-10,40.630001,40.950001,40.360001,40.889999,40.604797,14706600
2023-11-13,40.740002,41.060001,40.529999,40.770000,40.485634,12159700
2023-11-14,41.500000,42.380001,41.459999,42.080002,41.786499,20183800
2023-11-15,42.070000,43.029999,42.070000,42.840000,42.541195,17268100
2023-11-16,42.820000,42.959999,41.990002,42.529999,42.233356,16931200
2023-11-17,42.830002,42.990002,42.439999,42.959999,42.660358,13893800
2023-11-20,42.860001,42.950001,42.509998,42.790001,42.491547,10369100
2023-11-21,42.639999,42.730000,42.150002,42.599998,42.302868,16078400
2023-11-22,42.660000,42.830002,42.400002,42.779999,42.481613,11862200
2023-11-24,42.799999,43.110001,42.730000,42.919998,42.620636,5287200
2023-11-27,42.639999,43.029999,42.520000,43.020000,42.719940,15715000
2023-11-28,42.970001,43.450001,42.790001,43.369999,43.067497,15332900
2023-11-29,43.689999,44.139999,43.630001,43.779999,43.474640,16746000
2023-11-30,43.810001,44.750000,43.480000,44.590000,44.278992,23247500
2023-12-01,44.509998,45.240002,44.380001,45.020000,44.705990,18114700
2023-12-04,44.709999,45.330002,44.520000,45.119999,44.805294,13424000
2023-12-05,44.950001,44.970001,44.410000,44.490002,44.179691,14531700
2023-12-06,44.799999,45.250000,44.430000,44.500000,44.189617,18923800
2023-12-07,44.790001,45.439999,44.650002,45.400002,45.083344,18787800
2023-12-08,45.360001,46.340000,45.119999,46.099998,45.778458,20236400
2023-12-11,45.900002,46.220001,45.570000,46.000000,45.679157,21116900
2023-12-12,45.939999,46.759998,45.810001,46.470001,46.145878,19787100
2023-12-13,46.500000,47.779999,46.349998,47.759998,47.426880,26549100
2023-12-14,48.439999,50.549999,48.439999,50.509998,50.157696,41115400
2023-12-15,50.099998,50.770000,49.919998,50.310001,49.959095,44098700
2023-12-18,50.410000,50.480000,49.529999,49.660000,49.313629,20531700
2023-12-19,49.669998,50.320000,49.310001,50.090000,49.740627,20556400
2023-12-20,49.830002,50.570000,49.290001,49.340000,48.995861,20481500
2023-12-21,49.619999,49.830002,49.130001,49.450001,49.105095,11127700
2023-12-22,49.660000,49.860001,49.090000,49.180000,48.836975,10448000
2023-12-26,49.160000,49.669998,49.029999,49.639999,49.293766,8856600
2023-12-27,49.410000,49.570000,49.150002,49.330002,48.985931,12536700
2023-12-28,49.139999,49.650002,49.090000,49.480000,49.134884,9872600
2023-12-29,49.349998,49.580002,49.209999,49.220001,48.876698,11731900
2024-01-02,49.049999,49.759998,48.820000,49.330002,48.985931,14916000
2024-01-03,49.090000,49.090000,48.320000,48.680000,48.340462,21653600
2024-01-04,48.820000,49.860001,48.770000,49.279999,48.936275,15917500
2024-01-05,49.400002,50.470001,49.290001,49.919998,49.571812,15073600
2024-01-08,49.380001,49.990002,49.150002,49.919998,49.571812,15119700
2024-01-09,49.439999,49.459999,49.049999,49.290001,48.946209,13625200
2024-01-10,49.000000,49.119999,48.610001,49.080002,48.737675,11849800
2024-01-11,48.889999,49.080002,48.340000,49.040001,48.697952,21049200
2024-01-12,47.950001,48.779999,47.000000,47.400002,47.069393,30452700
2024-01-16,46.770000,47.060001,46.220001,46.820000,46.493435,25209900
2024-01-17,46.240002,47.060001,46.209999,46.669998,46.344482,17445600
2024-01-18,46.549999,46.619999,46.119999,46.439999,46.116085,17901300
2024-01-19,46.630001,48.180000,46.380001,48.119999,47.784367,25602400
2024-01-22,48.230000,48.930000,48.160000,48.529999,48.191509,19372200
2024-01-23,48.650002,49.220001,48.400002,49.119999,48.777393,16422100
2024-01-24,49.369999,50.090000,49.250000,49.490002,49.144814,17776000
2024-01-25,49.680000,49.939999,49.500000,49.880001,49.532093,17979600
2024-01-26,49.840000,50.500000,49.770000,50.320000,49.969025,19211100
2024-01-29,50.160000,50.669998,49.990002,50.349998,49.998814,16725200
2024-01-30,50.630001,51.270000,50.619999,51.189999,50.832954,14736800
2024-01-31,51.009998,51.439999,50.160000,50.180000,49.830002,20394400
2024-02-01,49.820000,49.970001,47.880001,48.730000,48.730000,27566100
2024-02-02,48.500000,49.570000,48.060001,49.160000,49.160000,19329000
2024-02-05,48.610001,48.919998,48.240002,48.700001,48.700001,14202700
2024-02-06,48.520000,49.119999,48.009998,48.290001,48.290001,13926600
2024-02-07,48.450001,48.599998,47.450001,48.480000,48.480000,15839600
2024-02-08,48.180000,48.500000,48.060001,48.349998,48.349998,10839200
2024-02-09,48.220001,48.270000,47.470001,48.060001,48.060001,16594000
2024-02-12,48.000000,49.290001,47.880001,48.919998,48.919998,14101900
